,,Total,Service,Non-service
,,175094,173530,1564
,地区 Regions,,,
天津,Tianjin,18191,17904,287
河北,Hebei,21137,20236,901
山西,Shanxi,8763,8359,404
内蒙古,Inner Mongolia,5861,5569,292
辽宁,Liaoning,20776,20109,667
吉林,Jilin,14233,13945,288
黑龙江,Heilongjiang,11067,10516,551
上海,Shanghai,81106,80347,759
江苏,Jiangsu,170243,168341,1902
浙江,Zhejiang,108922,106970,1952
安徽,Anhui,58614,57566,1048
福建,Fujian,26992,26294,698
江西,Jiangxi,18256,17625,631
山东,Shandong,78288,76080,2208
河南,Henan,29617,27700,1917
湖北,Hubei,50996,50359,637
湖南,Hunan,31477,30588,889
广东,Guangdong,218224,216092,2132
广西,Guangxi,11685,11190,495
海南,Hainan,3531,3399,132
重庆,Chongqing,26499,26014,485
四川,Sichuan,42373,41396,977
贵州,Guizhou,9698,9289,409
云南,Yunnan,10743,10345,398
西藏,Tibet,501,454,47
陕西,Shaanxi,35071,34378,693
甘肃,Gansu,6144,5827,317
青海,Qinghai,1353,1305,48
宁夏,Ningxia,2809,2743,66
新疆,Xinjiang,3949,3746,203
台湾,Taiwan,10721,10072,649
香港,Hong Kong,1063,964,99
澳门,Macao,155,148,7
广州,Guangzhou,52610,52076,534
长春,Changchun,12559,12448,111
武汉,Wuhan,40029,39752,277
南京,Nanjing,43922,43496,426
杭州,Hangzhou,55909,55434,475
西安,Xi'an,31154,30759,395
济南,Jinan,20071,19712,359
沈阳,Shenyang,9003,8783,220
成都,Chengdu,31447,30982,465
大连,Dalian,7782,7597,185
厦门,Xiamen,9364,9178,186
哈尔滨,Harbin,8522,8274,248
深圳,Shenzhen,98506,97844,662
青岛,Qingdao,25522,25253,269
宁波,Ningbo,14972,14672,300
新疆兵团,Xinjiang Bingtuan,663,639,24
