,,2018年,2022年,2023年,2018年,2022年,2023年,2018年,2022年,2023年
,,580855,485330,396587,389175,387204,236490,1500496,2908053,3078706
,地区 Regions,,,,,,,,,
天津,Tianjin,64234,71347,66417,41496,54955,39676,196319,399652,428366
河北,Hebei,218860,232623,234196,150128,195541,144722,500863,1245125,1374457
山西,Shanxi,52648,73459,76860,33873,57184,43300,139977,342608,381029
内蒙古,Inner Mongolia,59090,66468,67590,40354,53232,39502,153468,343184,377629
辽宁,Liaoning,104154,112039,110999,74435,86711,64445,316614,631750,683682
吉林,Jilin,63895,66140,65474,45064,52747,40208,166102,356321,390347
黑龙江,Heilongjiang,79846,83689,81743,53674,65721,50668,213150,451792,491877
上海,Shanghai,408916,403117,369520,291732,350704,235765,1149325,2427452,2613488
江苏,Jiangsu,484227,480272,438666,316045,398631,283440,1180720,2685045,2910731
浙江,Zhejiang,685713,642028,615864,487041,559986,394829,1984367,4161116,4471386
安徽,Anhui,201127,243320,250805,140576,195276,151789,436752,1189531,1323780
福建,Fujian,396538,391137,360131,256911,327483,229461,972726,2277564,2461620
江西,Jiangxi,136347,145376,162469,93606,120979,94199,292132,782781,861230
山东,Shandong,398902,464975,444977,252830,373687,274500,960070,2404114,2642939
河南,Henan,283085,324474,335137,185704,280931,199032,623730,1746409,1916040
湖北,Hubei,170970,193549,202445,125754,151030,113689,413950,970111,1064322
湖南,Hunan,177841,196093,194513,122654,162029,117920,434437,1048144,1139951
广东,Guangdong,1462435,1369943,1254481,940624,1143878,790456,3410021,7795886,8439863
广西,Guangxi,78855,103705,98722,47436,78165,56633,172376,461430,511047
海南,Hainan,31148,66937,73103,17274,43976,37265,74605,203646,242337
重庆,Chongqing,133952,131682,134504,92694,104609,75274,377407,782071,834841
四川,Sichuan,255692,289996,292846,165681,230862,163234,631570,1492127,1626077
贵州,Guizhou,73389,136293,123426,42814,91031,60089,153828,449518,503821
云南,Yunnan,103036,133967,134669,70456,99516,75493,277256,627702,692627
西藏,Tibet,10289,9899,12067,7881,8661,6117,21480,55810,61205
陕西,Shaanxi,115081,147629,150067,72982,108603,86236,310975,714827,782257
甘肃,Gansu,30665,39544,42448,21193,30104,23336,73321,185375,206217
青海,Qinghai,11739,13148,13681,8491,11028,7363,31209,70421,76665
宁夏,Ningxia,15851,21697,20952,11367,16072,11616,43186,99290,109142
新疆,Xinjiang,45068,73657,86071,32138,55654,46368,153933,327518,367177
台湾,Taiwan,23356,9855,9230,18208,8785,5832,166362,183308,180396
香港,Hong Kong,167548,79068,66940,145348,95456,48280,509970,812605,791387
澳门,Macao,1680,1551,1104,1212,1267,711,6111,9813,10432
广州,Guangzhou,438228,367723,336888,274861,310356,206991,947444,2160076,2329976
长春,Changchun,31322,33287,32497,21693,26684,20316,76540,175147,192575
武汉,Wuhan,88142,88815,88058,64061,70022,47721,211385,472269,509832
南京,Nanjing,83064,93092,81069,56194,74265,52042,211185,497031,541621
杭州,Hangzhou,203739,213107,205878,142899,177843,126928,508031,1183264,1288384
西安,Xi'an,69587,92078,86212,43205,65503,51022,200358,435441,474549
济南,Jinan,62767,73042,67488,40435,60466,42299,150360,386000,421883
沈阳,Shenyang,41601,41431,41590,28903,31777,24424,121063,240526,259501
成都,Chengdu,159758,153044,149742,101143,124574,84275,378531,876697,939866
大连,Dalian,24368,28066,26416,18638,21104,15044,85329,156057,168014
厦门,Xiamen,107641,87963,81847,74939,77021,51938,245219,556365,599402
哈尔滨,Harbin,42458,45281,42899,28308,34794,27354,113820,240007,260488
深圳,Shenzhen,481816,449041,392352,326915,370044,249696,1026193,2500626,2702625
青岛,Qingdao,76853,90392,84152,47695,72325,51617,183742,457675,500258
宁波,Ningbo,69833,72639,66851,47425,61015,46018,225028,455133,491899
